,Dataset_ID,Category,Capabilities,Product_Weight,Control_Weight,Product_Weighted_Score,Control_Weighted_Score,Product_Score,Control_Score,Total_Score,RE_Min,RE_Max,RC_Min,RC_Max,ALE
83,4,Hygiene,Vulnerability scanning,1200,4200,1050,4450,0.875,1.0595238095238095,1.0185185185185186,1451090,7629837,739125,2623622,2861717
84,4,Operations,Break & inspect,4450,2550,4100,4150,0.9213483146067416,1.6274509803921569,1.1785714285714286,685803,4375247,1580457,2585239,4882412
85,4,Operations,"EDR, XDR",3400,1250,600,3550,0.17647058823529413,2.84,0.8924731182795699,916188,3967615,1337209,1690834,6350693
86,4,Operations,Real-time analytics,2200,2400,1000,3550,0.45454545454545453,1.4791666666666667,0.9891304347826086,866793,3441194,625697,3310337,3331854
87,4,Operations,Sandboxing,2000,700,2800,2350,1.4,3.357142857142857,1.9074074074074074,339046,7481352,1198788,3663859,3318805
88,4,Operations,Security operations oversight,2750,2200,4200,3550,1.5272727272727273,1.6136363636363635,1.5656565656565657,3098492,1417828,1204531,1399855,5456763
89,4,Operations,Synchronized policy enforcement,1100,4950,4100,1650,3.727272727272727,0.3333333333333333,0.9504132231404959,2683327,724937,271221,3587001,3575951
90,4,Process,process_1,1850,2550,3300,250,1.7837837837837838,0.09803921568627451,0.8068181818181818,3615002,9345508,1011882,1827025,1970766
91,4,Process,process_2,4900,1200,2800,2800,0.5714285714285714,2.3333333333333335,0.9180327868852459,354932,6063624,1229615,774110,5621981
92,4,Process,process_3,2200,3000,1450,4400,0.6590909090909091,1.4666666666666666,1.125,787788,956625,1726267,2666403,1084093
93,4,Process,process_4,3200,4550,2750,3750,0.859375,0.8241758241758241,0.8387096774193549,1555668,2430727,194564,1132424,3844241
94,4,Process,process_5,4000,200,1900,3700,0.475,18.5,1.3333333333333333,4940031,8064398,388355,1684097,4937310
95,4,Process,process_6,3550,3650,4350,2900,1.2253521126760563,0.7945205479452054,1.0069444444444444,795008,8085421,797490,2568574,880341
96,5,Architecture,Data at rest encryption,1750,1450,4150,1200,2.3714285714285714,0.8275862068965517,1.671875,2516544,8619938,529685,2918843,3162229
97,5,Architecture,Data in motion encryption,3100,3800,750,1350,0.24193548387096775,0.35526315789473684,0.30434782608695654,4245930,506426,928017,340925,3263452
98,5,Architecture,Secure edge access,4250,650,4900,3150,1.1529411764705881,4.846153846153846,1.6428571428571428,2700504,6879363,849417,234180,1419218
99,5,Architecture,Segmentation,150,1800,1850,1800,12.333333333333334,1.0,1.8717948717948718,4434741,8704403,1207286,1626953,2375207
100,5,Architecture,Threat intelligence,2900,3400,4350,300,1.5,0.08823529411764706,0.7380952380952381,1119210,10803766,1396199,968516,2554509
101,5,Architecture,Visibility,1900,1200,3700,600,1.9473684210526316,0.5,1.3870967741935485,2109366,4001365,991328,3318733,6184122
102,5,Hygiene,Access control,2800,550,50,250,0.017857142857142856,0.45454545454545453,0.08955223880597014,2103077,2458894,506805,1400422,3223537
103,5,Hygiene,Configuration control,1450,900,4900,2350,3.3793103448275863,2.611111111111111,3.0851063829787235,4456037,7591681,1202746,2708454,4664880
104,5,Hygiene,Identity and access management,750,1450,800,1750,1.0666666666666667,1.206896551724138,1.1590909090909092,5416711,11031326,806864,2145730,2249337
105,5,Hygiene,Logging / analytics,2300,2550,3100,3650,1.3478260869565217,1.4313725490196079,1.3917525773195876,3785344,1041448,824058,3621721,3467928
106,5,Hygiene,Strong key management,3450,4100,350,100,0.10144927536231885,0.024390243902439025,0.059602649006622516,3774532,7184055,1372247,3528721,6542174
107,5,Hygiene,Vulnerability scanning,1500,3100,1750,850,1.1666666666666667,0.27419354838709675,0.5652173913043478,5380364,5200032,462963,1386838,769944
108,5,Operations,Break & inspect,3550,3950,3650,4450,1.028169014084507,1.1265822784810127,1.08,2122095,1866821,807903,1293926,5762874
109,5,Operations,"EDR, XDR",3800,3950,2500,250,0.6578947368421053,0.06329113924050633,0.3548387096774194,3987252,2358906,1153702,2672799,1431412
110,5,Operations,Real-time analytics,4400,4750,1850,1200,0.42045454545454547,0.25263157894736843,0.3333333333333333,4394423,6905112,577447,2592244,4723303
111,5,Operations,Sandboxing,4900,4850,2100,3900,0.42857142857142855,0.8041237113402062,0.6153846153846154,3458530,11032604,370150,2011312,7863867
112,5,Operations,Security operations oversight,3800,900,450,3950,0.11842105263157894,4.388888888888889,0.9361702127659575,3955976,3655265,1334213,1982040,1114379
113,5,Operations,Synchronized policy enforcement,1850,3550,2000,2950,1.0810810810810811,0.8309859154929577,0.9166666666666666,3304652,5495864,641570,2901740,7425624
114,5,Process,process_1,3050,600,3150,650,1.0327868852459017,1.0833333333333333,1.0410958904109588,1151043,4204371,1215768,3029829,4677091
115,5,Process,process_2,4700,4550,2150,2650,0.4574468085106383,0.5824175824175825,0.518918918918919,2692885,1945349,1462174,2868541,412256
116,5,Process,process_3,4000,1650,650,600,0.1625,0.36363636363636365,0.22123893805309736,4156201,3117693,1158223,2234980,5869229
117,5,Process,process_4,4500,2350,3250,1550,0.7222222222222222,0.6595744680851063,0.7007299270072993,988962,7652259,1710704,1556651,6704622
118,5,Process,process_5,4250,1800,800,3050,0.18823529411764706,1.6944444444444444,0.6363636363636364,1664160,541367,203642,682569,5219275
119,5,Process,process_6,2750,100,3500,4200,1.2727272727272727,42.0,2.7017543859649122,2769414,3821388,1359998,1944538,289460
120,6,Architecture,Data at rest encryption,3200,2050,2950,3300,0.921875,1.6097560975609757,1.1904761904761905,5112624,8012538,1779242,3038450,1816634
121,6,Architecture,Data in motion encryption,3250,1850,3750,2250,1.1538461538461537,1.2162162162162162,1.1764705882352942,1449524,7758286,989768,1930802,7083264
122,6,Architecture,Secure edge access,1850,1350,1900,1000,1.027027027027027,0.7407407407407407,0.90625,4878050,9505061,1581415,2560492,3338320
123,6,Architecture,Segmentation,2850,3450,1750,4200,0.6140350877192983,1.2173913043478262,0.9444444444444444,1403738,8778337,862269,190581,1327376
124,6,Architecture,Threat intelligence,2650,3950,1350,4650,0.5094339622641509,1.1772151898734178,0.9090909090909091,4694258,2034832,1573869,183839,809280
125,6,Architecture,Visibility,1550,1150,2200,3000,1.4193548387096775,2.608695652173913,1.9259259259259258,1695474,1247777,934249,2522900,2929532
126,6,Hygiene,Access control,4600,1800,3200,2900,0.6956521739130435,1.6111111111111112,0.953125,4888106,2874919,901712,2463202,4316092
127,6,Hygiene,Configuration control,2000,2850,3650,750,1.825,0.2631578947368421,0.9072164948453608,2748862,1249725,292207,1509512,1852194
128,6,Hygiene,Identity and access management,3150,800,2600,150,0.8253968253968254,0.1875,0.6962025316455697,5349295,6000105,680857,1812217,2505691
129,6,Hygiene,Logging / analytics,3350,2650,2000,2650,0.5970149253731343,1.0,0.775,2844595,6116446,68252,1004798,1647414
130,6,Hygiene,Strong key management,200,300,4800,1650,24.0,5.5,12.9,4652740,3739711,1514754,1592556,4899352
131,6,Hygiene,Vulnerability scanning,1100,3050,4600,4200,4.181818181818182,1.3770491803278688,2.1204819277108435,1518997,6328035,1396096,1945882,4651979
132,6,Operations,Break & inspect,650,3450,3050,3100,4.6923076923076925,0.8985507246376812,1.5,1970242,2620201,895222,1005692,1206896
133,6,Operations,"EDR, XDR",4950,4750,4250,300,0.8585858585858586,0.06315789473684211,0.4690721649484536,3214289,9648621,355901,431672,4069886
134,6,Operations,Real-time analytics,3850,3950,1300,4250,0.33766233766233766,1.0759493670886076,0.7115384615384616,4650637,2144854,1704296,446534,7645218
135,6,Operations,Sandboxing,3750,2750,3400,1200,0.9066666666666666,0.43636363636363634,0.7076923076923077,2178981,7884093,113869,1370212,4713085
136,6,Operations,Security operations oversight,4500,4550,2350,4550,0.5222222222222223,1.0,0.7624309392265194,1977386,3775249,633158,2396149,3303907
137,6,Operations,Synchronized policy enforcement,3400,1750,4650,2950,1.3676470588235294,1.6857142857142857,1.4757281553398058,4454048,1894885,1560121,3601256,894209
138,6,Process,process_1,250,2050,100,550,0.4,0.2682926829268293,0.2826086956521739,1410611,2077891,1292309,553854,2947039
139,6,Process,process_2,3400,2700,4850,1350,1.4264705882352942,0.5,1.0163934426229508,1616382,4184918,818740,2746545,2241071
140,6,Process,process_3,3450,550,1350,1600,0.391304347826087,2.909090909090909,0.7375,1977506,7910228,227984,1776015,2349544
141,6,Process,process_4,4750,2350,4450,3350,0.9368421052631579,1.425531914893617,1.0985915492957747,5099855,2588897,701424,138090,6631712
142,6,Process,process_5,2200,1600,2850,3250,1.2954545454545454,2.03125,1.605263157894737,1900548,3193366,436829,216768,1806676
143,6,Process,process_6,4400,1600,400,2550,0.09090909090909091,1.59375,0.49166666666666664,2184995,448484,1570968,3294757,439651
144,7,Architecture,Data at rest encryption,1400,2350,1050,3800,0.75,1.6170212765957446,1.2933333333333332,1046379,4629334,1483602,3466987,6689919
145,7,Architecture,Data in motion encryption,1950,3800,2750,200,1.4102564102564104,0.05263157894736842,0.5130434782608696,4165543,7683871,668834,215650,4617596
146,7,Architecture,Secure edge access,3600,3450,2100,100,0.5833333333333334,0.028985507246376812,0.3120567375886525,4292173,2745035,1475052,3258157,2831616
147,7,Architecture,Segmentation,4750,4650,3350,4600,0.7052631578947368,0.989247311827957,0.8457446808510638,1604340,10202513,665052,2373792,714762
148,7,Architecture,Threat intelligence,1200,700,1400,2800,1.1666666666666667,4.0,2.210526315789474,4641186,1994289,1465996,1756948,4523898
149,7,Architecture,Visibility,4250,3800,2800,4550,0.6588235294117647,1.1973684210526316,0.9130434782608695,2216310,7682121,617062,366921,2992960
150,7,Hygiene,Access control,1000,3200,2650,3800,2.65,1.1875,1.5357142857142858,3029473,7243209,517032,2392614,7378051
151,7,Hygiene,Configuration control,1500,1300,3350,4900,2.2333333333333334,3.769230769230769,2.9464285714285716,1709075,6314798,1614882,347419,5499470
152,7,Hygiene,Identity and access management,1500,750,3950,2400,2.6333333333333333,3.2,2.8222222222222224,2679547,5684102,1572699,2676413,6387492
153,7,Hygiene,Logging / analytics,4950,3650,3900,2900,0.7878787878787878,0.7945205479452054,0.7906976744186046,4507557,8926807,1764846,2571238,3388814
154,7,Hygiene,Strong key management,1150,850,1750,4800,1.5217391304347827,5.647058823529412,3.275,1962536,4942607,1376173,2757050,5992788
155,7,Hygiene,Vulnerability scanning,2600,650,3000,4000,1.1538461538461537,6.153846153846154,2.1538461538461537,3313915,4350892,1426341,548933,2361066
156,7,Operations,Break & inspect,3150,2000,3800,2400,1.2063492063492063,1.2,1.203883495145631,1210074,6760548,1191352,1890217,1620154
157,7,Operations,"EDR, XDR",1050,1250,4650,450,4.428571428571429,0.36,2.217391304347826,2215931,6517384,1793639,1796928,1531560
158,7,Operations,Real-time analytics,3750,4050,900,4950,0.24,1.2222222222222223,0.75,1852346,4240262,1691409,3071613,502876
159,7,Operations,Sandboxing,3100,2700,3950,4750,1.2741935483870968,1.7592592592592593,1.5,554508,717261,1792851,3675886,3308254
160,7,Operations,Security operations oversight,2450,1800,4450,2600,1.816326530612245,1.4444444444444444,1.6588235294117648,2030536,9651844,1478605,252119,7191442
161,7,Operations,Synchronized policy enforcement,1200,3500,2750,3050,2.2916666666666665,0.8714285714285714,1.2340425531914894,2739181,8341982,830936,1039631,7578101
162,7,Process,process_1,100,3900,3050,2200,30.5,0.5641025641025641,1.3125,2828571,8328197,1808306,189428,3164271
163,7,Process,process_2,4800,2100,2800,3700,0.5833333333333334,1.7619047619047619,0.9420289855072463,431467,10891421,1722350,2802377,3122188
164,7,Process,process_3,3200,3600,4350,3150,1.359375,0.875,1.1029411764705883,392520,9439852,286845,593191,3452130
165,7,Process,process_4,2050,1050,1100,150,0.5365853658536586,0.14285714285714285,0.4032258064516129,4101038,1798276,1139649,2385660,5151350
166,7,Process,process_5,3500,3450,1700,850,0.4857142857142857,0.2463768115942029,0.3669064748201439,3945572,10699065,874478,1305637,4208345
167,7,Process,process_6,1850,1900,4950,2400,2.675675675675676,1.263157894736842,1.96,4844830,9435670,1005361,2107693,2185929
168,8,Architecture,Data at rest encryption,2800,1900,3750,1000,1.3392857142857142,0.5263157894736842,1.0106382978723405,2944025,866132,228052,1301144,1144956
169,8,Architecture,Data in motion encryption,800,1500,4900,2400,6.125,1.6,3.1739130434782608,5196580,8117303,1100891,177336,3654519
170,8,Architecture,Secure edge access,3350,4600,3300,3500,0.9850746268656716,0.7608695652173914,0.8553459119496856,2261144,10625298,171178,1762758,6801369
171,8,Architecture,Segmentation,3050,1750,3850,1300,1.2622950819672132,0.7428571428571429,1.0729166666666667,511721,7319831,446774,2320721,3096104
172,8,Architecture,Threat intelligence,550,2350,50,4350,0.09090909090909091,1.851063829787234,1.5172413793103448,1481390,4738413,1223521,704840,342447
173,8,Architecture,Visibility,1100,3550,1000,4850,0.9090909090909091,1.3661971830985915,1.2580645161290323,773091,9764765,612427,2377568,6628099
174,8,Hygiene,Access control,1050,1700,1150,2550,1.0952380952380953,1.5,1.3454545454545455,3470645,4473860,1424082,302933,2427324
175,8,Hygiene,Configuration control,2450,1450,250,550,0.10204081632653061,0.3793103448275862,0.20512820512820512,1901025,7789756,1747825,1171241,1841752
176,8,Hygiene,Identity and access management,1600,2750,3150,2100,1.96875,0.7636363636363637,1.206896551724138,3736373,10434388,245137,2953169,6351698
177,8,Hygiene,Logging / analytics,2150,3150,4650,100,2.1627906976744184,0.031746031746031744,0.8962264150943396,4337078,4349886,1808826,3091107,6464390
178,8,Hygiene,Strong key management,4950,2400,2100,1700,0.42424242424242425,0.7083333333333334,0.5170068027210885,4556443,5465013,343679,3026124,3540309
179,8,Hygiene,Vulnerability scanning,3500,4700,250,1850,0.07142857142857142,0.39361702127659576,0.25609756097560976,4285211,2993175,85578,654822,3170130
180,8,Operations,Break & inspect,4450,1700,1550,4300,0.34831460674157305,2.5294117647058822,0.9512195121951219,3024318,737402,369487,2412962,5269318
181,8,Operations,"EDR, XDR",3750,100,700,2400,0.18666666666666668,24.0,0.8051948051948052,2080996,9960288,1690704,2986193,3896144
182,8,Operations,Real-time analytics,4200,3950,3150,350,0.75,0.08860759493670886,0.4294478527607362,2684970,6994222,1526227,2306955,1296202
183,8,Operations,Sandboxing,1450,1250,950,4950,0.6551724137931034,3.96,2.185185185185185,4563219,3733209,120816,1147385,5785355
184,8,Operations,Security operations oversight,2050,800,50,600,0.024390243902439025,0.75,0.22807017543859648,4609544,6311096,654792,3592821,3504205
185,8,Operations,Synchronized policy enforcement,850,4700,4550,350,5.352941176470588,0.07446808510638298,0.8828828828828829,2214756,9548177,1500634,1215316,2902779
186,8,Process,process_1,2400,3000,4550,600,1.8958333333333333,0.2,0.9537037037037037,1160209,2545475,1338722,397820,1280140
187,8,Process,process_2,850,800,4200,3100,4.9411764705882355,3.875,4.424242424242424,3843936,5281315,682149,1935237,5195670
188,8,Process,process_3,1750,2300,2350,4300,1.3428571428571427,1.8695652173913044,1.6419753086419753,1365787,1557337,1090922,1490604,8052739
189,8,Process,process_4,4850,1500,3050,4400,0.6288659793814433,2.933333333333333,1.1732283464566928,1723706,1151796,1725704,2221880,2971408
190,8,Process,process_5,450,3500,3050,2100,6.777777777777778,0.6,1.3037974683544304,657746,1063622,682057,3368240,5481147
191,8,Process,process_6,100,4950,2700,4800,27.0,0.9696969696969697,1.4851485148514851,592037,9399745,1284631,1894101,879323
192,9,Architecture,Data at rest encryption,3050,2700,400,150,0.13114754098360656,0.05555555555555555,0.09565217391304348,4828188,992861,479793,3300553,5834332
193,9,Architecture,Data in motion encryption,1550,850,150,300,0.0967741935483871,0.35294117647058826,0.1875,843501,6910738,240368,1090140,6565323
194,9,Architecture,Secure edge access,300,2350,200,3300,0.6666666666666666,1.4042553191489362,1.320754716981132,2681766,1210634,351886,2470474,4476677
195,9,Architecture,Segmentation,4500,4250,3100,550,0.6888888888888889,0.12941176470588237,0.41714285714285715,3882348,3284619,751846,3236038,3600008
196,9,Architecture,Threat intelligence,4850,4250,550,1650,0.1134020618556701,0.38823529411764707,0.24175824175824176,5291467,3345033,615274,3257570,7630932
197,9,Architecture,Visibility,4550,3550,1050,1650,0.23076923076923078,0.4647887323943662,0.3333333333333333,3238737,4631480,967640,3422940,2720369
